"","idealpoint","polity","polity2","democ","autoc","unreg","physint","speech","new_empinx","wecon","wopol","wosoc","elecsd","gdp.pc.wdi","gdp.pc.un","pop.wdi","amnesty","statedept","milper","cinc","domestic9"
"Angola",-0.4378152,-3,-3,1,4,2,1,0,6,1,2,1,0,606.272292244341,636.159266752508,15058638,4,5,108,0.0019218,0
"Albania",1.256826,5,5,6,1,150,3,1,9,1,2,1,1,1175.78898073398,1101.25493881432,3089027,3,2,54,0.0005688,0
"United Arab Emirates",-0.6322145,-8,-8,0,8,142,7,0,0,2,0,1,0,34207.5389498903,34476.3175571431,3050128,2,1,65,0.0023034,0
"Armenia",0.272624,5,5,6,1,142,4,1,6,1,1,1,0,621.424826318947,621.424838647389,3076098,2,2,41,0.0006989,0
"Australia",0.9546293,10,10,10,0,9,7,2,13,2,2,3,2,21665.1154539573,21279.7840981617,19153000,1,1,51,0.0067379,0
"Azerbaijan",0.06481093,-7,-7,0,7,142,4,0,4,1,2,1,0,655.097432602586,649.517710225968,8048600,2,3,72,0.0013071,0
"Burundi",-0.6199853,-1,-1,1,2,2,1,0,5,1,2,0,0,128.635536499035,103.841254300516,6767073,4,5,40,0.0005448,1875
"Belgium",1.280269,10,10,10,0,150,8,1,12,2,2,3,2,23207.4059110078,22659.1311128072,10251250,1,1,39,0.0053823,0
"Burkina Faso",-0.8145458,-3,-3,0,3,2,4,1,10,0,2,0,1,226.801607824507,226.801584114402,11607944,2,2,7,0.000511,0
"Bangladesh",-0.8263455,6,6,6,0,142,2,0,7,1,2,1,1,406.531740491075,387.340683588083,131280739,3,3,137,0.0065141,0
"Bulgaria",1.083779,8,8,8,0,150,4,1,7,1,2,1,1,1609.2805861652,1612.89243307907,8170172,3,2,80,0.0018188,125
"Bahrain",-0.8319221,-9,-9,0,9,142,3,0,4,1,0,1,0,13590.5210501438,13562.4530820655,666855,2,3,11,0.000435,0
"Belarus",-0.3786229,-7,-7,0,7,150,4,0,4,1,2,1,0,1273.0491239487,1043.71434494129,10005000,3,3,83,0.0027704,0
"Bolivia",-0.1594081,9,9,9,0,419,4,1,11,1,2,1,2,1007.00286888451,988.53302529372,8339512,3,2,32,0.0009406,1687
"Brazil",0.02465715,8,8,8,0,419,2,2,13,1,2,1,2,3738.71941172048,3694.61792088731,175786441,4,3,288,0.0251966,812
"Bhutan",-0.838826,-10,-10,0,10,142,4,0,4,2,1,2,0,778.391266016094,778.138654743247,564187,2,1,6,0.0001204,0
"Canada",1.169867,10,10,10,0,21,7,1,13,2,3,2,2,24031.9512017887,24088.3705965988,30769700,1,1,59,0.01182,437
"Chile",-0.03522394,9,9,9,0,419,4,2,13,1,2,1,2,5229.17709770803,5007.16949305351,15170387,2,2,87,0.0031497,0
"China",-0.6912239,-7,-7,0,7,142,3,0,1,1,2,1,0,954.552291730423,931.591407791583,1262645000,5,4,2810,0.1557135,875
"Ivory Coast",-0.6073195,4,4,5,1,2,1,1,6,2,2,1,1,648.810764066209,662.160800483927,16517948,3,4,8,0.0008875,4312
"Cameroon",-0.6659527,-4,-4,1,5,2,1,1,5,1,2,0,1,583.094838239344,583.094859096401,15927713,4,4,7,0.0007732,0
"Congo",-0.7667057,-6,-6,0,6,2,3,1,10,1,2,1,0,1035.58446246805,1029.97458452161,3109269,5,3,10,0.0003424,0
"Colombia",-0.3289812,7,7,7,0,419,0,2,12,1,2,1,1,2472.19777585519,2503.27856528563,40403959,5,5,152,0.0052601,8687
"Cuba",-1.41284,-7,-7,0,7,419,4,0,2,2,2,2,0,2749.4634915646,2744.12447874096,11116787,3,3,58,0.0014429,250
"Czech Republic",1.188754,10,10,10,0,150,7,1,11,2,2,2,2,5994.52827686543,5736.63584897034,10255063,2,1,58,0.0029744,0
"Dominican Republic",-0.3031811,8,8,8,0,419,4,2,11,1,2,1,2,2802.42404406799,2730.47994948565,8562623,2,3,24,0.0008058,437
"Algeria",-1.021058,-3,-3,1,4,2,4,1,7,1,2,0,0,1757.01197444151,1727.3439653066,31183658,5,4,124,0.0053109,1875
"Ecuador",-0.3425568,6,6,6,0,419,6,1,8,1,2,1,1,1451.2907755099,1461.61923235672,12628596,3,3,58,0.0015271,4937
"Egypt",-1.090076,-6,-6,0,6,2,4,1,4,1,2,1,0,1461.01825941042,1446.75805658942,68334905,3,3,448,0.0091751,0
"Eritrea",-0.5431108,-6,-6,0,6,2,6,1,7,1,2,1,1,199.813194181276,179.311604930496,3535156,4,2,200,0.0017314,0
"Spain",1.108349,10,10,10,0,150,4,2,14,2,2,2,2,14787.756063671,14406.7603490803,40263216,2,1,166,0.0109822,3500
"Finland",1.198106,10,10,10,0,150,8,2,14,3,3,3,2,24253.2504245786,23528.2794811265,5176209,1,1,32,0.0023088,0
"France",1.518569,9,9,9,0,150,6,2,13,2,2,2,2,22465.6418414637,21770.3259778385,60912498,2,1,294,0.020735,125
"United Kingdom",1.744721,10,10,10,0,150,6,2,12,2,2,3,2,26400.6564382696,25335.4049429949,58892514,2,1,212,0.0220596,375
"Georgia",0.8721344,5,5,5,0,142,5,2,9,1,2,1,1,691.997710105302,644.653137027524,4418300,3,2,27,0.0005652,0
"Ghana",-0.7914703,2,2,3,1,2,5,1,9,1,2,1,2,264.702576168061,424.187717449004,18824994,2,2,7,0.0009946,0
"Guinea",-0.607868,-1,-1,1,2,2,2,1,4,1,2,1,0,340.41422898218,364.993257389995,8799165,3,4,10,0.0003959,2125
"Gambia",-0.7006317,-5,-5,0,5,2,6,1,6,1,1,1,0,637.1055214626,637.104271237533,1228863,3,3,1,4.56e-05,0
"Greece",1.135251,10,10,10,0,150,7,2,11,2,2,2,2,11952.8578030535,11462.204105386,10917482,2,1,159,0.0038542,0
"Guatemala",0.0421529,8,8,8,0,419,2,2,13,1,2,2,2,1650.36595897633,1534.75062646859,11688660,3,3,31,0.0008116,750
"Guyana",-0.4603584,6,6,6,0,419,6,2,13,1,2,2,2,960.186760126421,1526.58751452399,742218,3,2,2,5.58e-05,0
"Honduras",-0.282941,7,7,7,0,419,6,2,14,1,2,2,2,1138.14703181001,1152.63615001676,6243080,3,3,8,0.0004211,0
"Croatia",1.062694,8,8,8,0,150,6,1,8,1,2,1,1,4919.62806870834,4808.25335420687,4426000,1,1,61,0.000908,0
"Hungary",1.310657,10,10,10,0,150,8,2,12,2,2,2,2,4619.52863282639,4536.88154012347,10210971,2,2,44,0.001847,0
